Step_Range	Rg_squared_ring1	Rg_squared_ring2	Rg_squared_total
0-100	6.772124312954656	6.649822900240021	16.355321398730478
100-200	6.816682210362323	6.736400959987365	16.395957632343656
200-300	6.833378134682569	6.775651406708587	16.354065685823834
300-400	6.90049830328228	6.9141276437862125	16.424777040866072
400-500	6.685699185144766	6.952559284573572	16.33447855527931
500-600	6.849325259970225	6.976027812378293	16.43398351732498
600-700	6.809094525687833	6.859716781361539	16.354361605548412
700-800	6.818846698743067	6.750953719994904	16.267884988104726
800-900	6.7291833223805035	6.772529968241482	16.18645687285023
