Step	EV_Ring1_1	EV_Ring1_2	EV_Ring1_3	EV_Ring2_1	EV_Ring2_2	EV_Ring2_3	EV_Total_1	EV_Total_2	EV_Total_3
0-100	0.0030317211683573257	3.412631605690628	3.456098987698977	0.006233943488426003	3.4112451746768064	3.5223027920387633	0.0051578254678377854	3.4694167389257413	13.012062701540824
100-200	0.008539718672341478	3.5242208168147897	3.5924252583682645	0.01611351177967476	3.4351421624413216	3.5741567108790395	0.014441248321256957	3.5772857991436147	12.958627007322368
200-300	0.01270612442068931	3.422556589742165	3.5278864408090973	0.017604465054511968	3.444098974521271	3.586181923372106	0.018550094629548885	3.5548890034204432	12.862594809955343
300-400	0.023850480820935768	3.322999838808083	3.6789947420057665	0.025150685451317118	3.4304159225122923	3.620374981731386	0.02559643440137419	3.6135494827988053	12.87602032967471
400-500	0.02474800059176818	3.338206356698222	3.697417567821439	0.030479670580048464	3.5062045189525017	3.6749025293868414	0.02962199731383606	3.6397983294898193	12.88977430129992
500-600	0.025992393366053884	3.3208412887687095	3.749220283114706	0.03119693431085931	3.431786676318452	3.5961096588376895	0.02980735491832483	3.6081489477175106	12.848831890820016
600-700	0.02570825115412842	3.289771466068299	3.623349029691643	0.028523104989918245	3.4223376313889387	3.564504464991746	0.028899206370219473	3.5383045613517354	12.903473933916267
700-800	0.026225932253782284	3.278543139420493	3.6359881197149195	0.02558601852281505	3.4151245831540358	3.6534679463443873	0.02848418268963116	3.5661708214644063	12.90104680175746
800-900	0.030102052561991333	3.2382035228550117	3.637235549638687	0.016817551593948602	3.4004308383056503	3.5765507192594104	0.025437401014577886	3.5083603393785383	12.893757825247787
