Step	EV_Ring1_1	EV_Ring1_2	EV_Ring1_3	EV_Ring2_1	EV_Ring2_2	EV_Ring2_3	EV_Total_1	EV_Total_2	EV_Total_3
0-100	0.009445880578732033	3.3671686041725013	3.395509828203422	0.009838588528423143	3.2775070432056514	3.362477268505946	0.009726800403994415	3.3502089419722156	12.99538565635427
100-200	0.016021768124685646	3.3460178638978606	3.4546425783397767	0.011566487736933228	3.319428838444109	3.4054056338063226	0.014505840903985651	3.3590807084808545	13.022371082958816
200-300	0.027399774176167648	3.3683948620032464	3.4375834985031553	0.01095710544904824	3.3393087407953828	3.425385560464156	0.02062119933410859	3.394307899258236	12.93913658723149
300-400	0.022573296869674467	3.3989428550229346	3.4789821513896713	0.015107057710631502	3.3740173850595014	3.52500320101608	0.019348895321780617	3.470503866167923	12.93492427937637
400-500	0.020960985119377818	3.2921097862903017	3.3726284137350864	0.018167130907260614	3.346329781961637	3.588062371704674	0.02091821600742994	3.4331229759795385	12.880437363292344
500-600	0.024148638213489247	3.3454092800101853	3.47976734174655	0.016405090483312807	3.360401605358662	3.5992211165363184	0.024628228750965202	3.5214845640661747	12.887870724507838
600-700	0.021278398857231203	3.311403311791182	3.47641281503942	0.01970472847428325	3.293477538521933	3.5465345143653226	0.024981251532830647	3.492995613773298	12.836384740242284
700-800	0.023039444847106388	3.3379506041677978	3.4578566497281624	0.024681063740490516	3.2325094054359704	3.493763250818443	0.03052976526433272	3.4279259960043356	12.809429226836057
800-900	0.03242701400453026	3.241919535263873	3.4548367731121	0.02248717325441685	3.2262436010171753	3.52379919396989	0.03523308228895176	3.431693272623584	12.719530517937692
