Step	Eig_val_1	Eig_val_2	Eig_val_3
0-100	0.0015010942339045458	3.3873967926109385	3.474134514614377
100-200	0.0012826683736432312	3.4149406359222017	3.481082188989276
200-300	0.0029272828356650127	3.4065043192898363	3.53406403290846
300-400	0.0037662619017998383	3.4445186691941645	3.534881799866922
400-500	0.003975323615242184	3.446351802995979	3.5501092602919493
500-600	0.005759883619964057	3.467547797717118	3.5652337049948453
600-700	0.006328743766970402	3.48362156433011	3.5900836849508044
700-800	0.009374411411847547	3.47039633347451	3.5425239215842543
800-900	0.008204161229035762	3.455873855593542	3.5082058539361327
