Step_Range	Rg_squared_ring1	Rg_squared_ring2	Rg_squared_total
0-100	6.871762314557962	6.939781910203996	16.4866372659344
100-200	7.125185793855396	7.0254123851000365	16.550354054787242
200-300	6.963149154971951	7.0478853629478895	16.436033908005335
300-400	7.025845061634785	7.075941589694995	16.515166246874887
400-500	7.060371925111429	7.211586718919392	16.559194628103576
500-600	7.096053965249469	7.0590932694670006	16.48678819345585
600-700	6.938828746914071	7.015365201370603	16.470677701638223
700-800	6.940757191389195	7.0941785480212385	16.495701805911498
800-900	6.90554112505569	6.99379910915901	16.427555565640905
